2024-05-15 15:22:18,323 INFO Loading dictionaries from /home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/pymorphy2_dicts_ru/data
2024-05-15 15:22:18,366 INFO format: 2.4, revision: 417127, updated: 2020-10-11T15:05:51.070345
2024-05-15 15:22:19,152 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:19,154 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationSerif-Bold.ttf', name='Liberation Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Main-Bold.otf', name='MathJax_Main', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/calibriz.ttf', name='Calibri', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/georgiaz.ttf', name='Georgia', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/constanz.ttf', name='Constantia', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationSerif-Regular.ttf', name='Liberation Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationSans-Regular.ttf', name='Liberation Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Variants-Italic.otf', name='STIX MathJax Variants', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/trebucbi.ttf', name='Trebuchet MS', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/andalemo.ttf', name='Andale Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/NimbusSans-Regular.otf', name='Nimbus Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_DoubleStruck-Regular.otf', name='STIX MathJax DoubleStruck', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_SansSerif-Bold.otf', name='MathJax_SansSerif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Alphabets-Regular.otf', name='STIX MathJax Alphabets', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/consola.ttf', name='Consolas', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/URWBookman-Light.otf', name='URW Bookman', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Size4-Regular.otf', name='STIX MathJax Size4', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Misc-Bold.otf', name='STIX MathJax Misc', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/comicbd.ttf', name='Comic Sans MS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,985 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/abattis-cantarell/Cantarell-BoldOblique.otf', name='Cantarell', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/NimbusMonoPS-Bold.otf', name='Nimbus Mono PS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Main-Italic.otf', name='MathJax_Main', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/NimbusMonoPS-Regular.otf', name='Nimbus Mono PS', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansCondensed-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='condensed', size='scalable')) = 1.25
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Size2-Regular.otf', name='MathJax_Size2', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/verdanai.ttf', name='Verdana', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 4.6863636363636365
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/google-crosextra-caladea/Caladea-Regular.ttf', name='Caladea', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/P052-Italic.otf', name='P052', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/times.ttf', name='Times New Roman', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/constan.ttf', name='Constantia', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/opensymbol/opens___.ttf', name='OpenSymbol', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/candaraz.ttf', name='Candara', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/NimbusSansNarrow-Bold.otf', name='Nimbus Sans Narrow', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Alphabets-Bold.otf', name='STIX MathJax Alphabets', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Main-Regular.otf', name='MathJax_Main', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/calibrii.ttf', name='Calibri', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
